date,inflation,interest_rate,bond_yield,vix
2010-02-01,217.281,0.13,3.69,22.59000015258789
2010-03-01,217.353,0.16,3.73,19.260000228881836
2010-04-01,217.403,0.2,3.85,17.469999313354492
2010-06-01,217.199,0.18,3.2,35.540000915527344
2010-07-01,217.605,0.18,3.01,32.86000061035156
2010-09-01,218.275,0.19,2.65,23.889999389648438
2010-10-01,219.035,0.19,2.54,22.5
2010-11-01,219.59,0.19,2.76,21.829999923706055
2010-12-01,220.472,0.18,3.29,21.360000610351562
2011-02-01,221.898,0.16,3.58,17.6299991607666
2011-03-01,223.046,0.14,3.41,21.010000228881836
2011-04-01,224.093,0.1,3.46,17.399999618530273
2011-06-01,224.806,0.09,3.0,18.299999237060547
2011-07-01,225.395,0.07,3.0,15.869999885559082
2011-08-01,226.106,0.1,2.3,23.65999984741211
2011-09-01,226.597,0.08,1.98,31.81999969482422
2011-11-01,227.169,0.08,2.01,34.77000045776367
2011-12-01,227.223,0.07,1.98,27.40999984741211
2012-02-01,228.329,0.1,1.97,18.549999237060547
2012-03-01,228.807,0.13,2.17,17.260000228881836
2012-05-01,228.713,0.16,1.8,16.600000381469727
2012-06-01,228.524,0.16,1.62,26.65999984741211
2012-08-01,229.918,0.13,1.68,18.959999084472656
2012-10-01,231.638,0.16,1.75,16.31999969482422
2012-11-01,231.249,0.16,1.65,16.690000534057617
2013-02-01,232.937,0.15,1.98,12.899999618530273
2013-03-01,232.282,0.14,1.96,15.359999656677246
2013-04-01,231.797,0.15,1.76,13.579999923706055
2013-05-01,231.893,0.11,1.93,14.489999771118164
2013-07-01,232.9,0.09,2.58,16.3700008392334
2013-08-01,233.456,0.08,2.74,12.9399995803833
2013-10-01,233.669,0.09,2.62,15.539999961853027
2013-11-01,234.1,0.08,2.72,13.279999732971191
2014-04-01,236.468,0.09,2.71,13.100000381469727
2014-05-01,236.918,0.09,2.56,13.25
2014-07-01,237.498,0.09,2.54,11.149999618530273
2014-08-01,237.46,0.09,2.42,17.030000686645508
2014-10-01,237.43,0.09,2.3,16.709999084472656
2014-12-01,236.252,0.12,2.21,14.15999984741211
2015-04-01,236.222,0.12,1.94,15.109999656677246
2015-05-01,237.001,0.12,2.2,12.699999809265137
2015-06-01,237.657,0.13,2.36,13.970000267028809
2015-07-01,238.034,0.13,2.32,16.09000015258789
2015-09-01,237.498,0.14,2.17,31.399999618530273
2015-10-01,237.733,0.12,2.07,22.549999237060547
2015-12-01,237.761,0.24,2.24,14.670000076293945
2016-02-01,237.336,0.38,1.78,19.979999542236328
2016-03-01,238.08,0.36,1.89,17.700000762939453
2016-04-01,238.992,0.37,1.81,13.100000381469727
2016-06-01,240.222,0.38,1.64,14.199999809265137
2016-07-01,240.101,0.39,1.5,14.770000457763672
2016-08-01,240.545,0.4,1.56,12.4399995803833
2016-09-01,241.176,0.4,1.63,13.479999542236328
2016-11-01,242.026,0.41,2.14,18.559999465942383
2016-12-01,242.637,0.54,2.49,14.069999694824219
2017-02-01,244.006,0.66,2.42,11.8100004196167
2017-03-01,243.892,0.79,2.48,12.539999961853027
